results.bathrooms,results.bedrooms,results.city,results.country,results.currency,results.daysOnZillow,results.homeStatus,results.homeStatusForHDP,results.homeType,results.imgSrc,results.isFeatured,results.isNonOwnerOccupied,results.isPreforeclosureAuction,results.isPremierBuilder,results.isShowcaseListing,results.isUnmappable,results.isZillowOwned,results.latitude,results.listing_sub_type.is_FSBA,results.livingArea,results.longitude,results.lotAreaUnit,results.lotAreaValue,results.price,results.priceForHDP,results.rentZestimate,results.shouldHighlight,results.state,results.streetAddress,results.taxAssessedValue,results.zestimate,results.zipcode,results.zpid,results.unit,results.listing_sub_type.is_newHome,results.newConstructionType,results.listing_sub_type.is_openHouse,results.openHouse,results.open_house_info.open_house_showing.open_house_end,results.open_house_info.open_house_showing.open_house_start,results.datePriceChanged,results.priceChange,results.priceReduction,resultsPerPage,totalPages,totalResultCount
2,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.879976272583008,-95.44994354248047&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=nsiM6i1OG5x135tTedz0ecULyuA=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.879976,TRUE,1357,-95.44994,sqft,7840.8,239997,239997,1674,FALSE,TX,8615 Easter St,197088,237900,77088,28115991,,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/52eb984c70347d156987d374f6bcb397-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.744326,TRUE,2327,-95.38269,sqft,2134,520000,520000,3128,FALSE,TX,201 Westheimer Rd #C,447640,516600,77006,58673564,# C,,,,,,,,,,,,
2,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aea199e3c74619ce9fb8e8b30bef9fe8-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.883749,TRUE,2024,-95.67499,sqft,6634.188,320000,320000,1999,FALSE,TX,17414 Canyon Knoll Dr,301898,319000,77095,28509690,,,,,,,,,,,,,
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/151f44bc567a6f21604dffd789fc6c21-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.742428,TRUE,,-95.345695,sqft,5000.688,240000,240000,1450,FALSE,TX,1215 Sampson St,220000,,77003,97631146,,,,,,,,,,,,,
1,1,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/11bd35c0e99340a6eeba7421635debcc-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.725096,TRUE,1028,-95.53043,acres,9.4652,125000,125000,1189,FALSE,TX,3616 Ocee St,111822,,77063,28352624,,,,,,,,,,,,,
4,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/784a89da215155e623c44fec442cab11-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.751144,,4175,-95.3943,sqft,5000.688,1749000,1749000,10301,FALSE,TX,1208 Willard St,970410,1731300,77006,27775695,,TRUE,BUILDER_SPEC,,,,,,,,,,
3,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/c7aef88ddb2a00ac7230f97dac961718-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.755665,TRUE,2025,-95.48471,acres,12.1312,365000,365000,2964,FALSE,TX,5835 Sugar Hill Dr #35,308494,361600,77057,28234530,# 35,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ae17de6cc4d66e5bf46e4b01b8296793-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.874397,TRUE,1862,-95.65133,sqft,3323.628,287000,287000,1975,FALSE,TX,16018 Sommerall Lake Ln,278488,286000,77084,243981979,,,,,,,,,,,,,
1,1,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.698684692382812,-95.41608428955078&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=6e7Vb8AIyK7hrqnE0phTYC_rMPQ=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.698685,TRUE,860,-95.416084,acres,7.4586,149000,149000,1350,FALSE,TX,2400 N Braeswood Blvd APT 132,139403,147000,77030,28293881,Apt 132,,,,,,,,,,,,
4,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a101934267502df3d88ee141a75441a8-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.807638,,3902,-95.38736,sqft,5000.688,1499000,1499000,1594,FALSE,TX,845 E 23rd St,484180,,77009,27784695,,TRUE,BUILDER_SPEC,,,,,,,,,,
